start_time,end_time,start_time_iso,end_time_iso,input_tokens,output_tokens,num_model_requests,project_id,user_id,api_key_id,model,batch,service_tier,input_cached_tokens,input_uncached_tokens,input_audio_tokens,output_audio_tokens
1753142400,1753228800,2025-07-22T00:00:00+00:00,2025-07-23T00:00:00+00:00,,,,,,,,,,,,,
1753228800,1753315200,2025-07-23T00:00:00+00:00,2025-07-24T00:00:00+00:00,,,,,,,,,,,,,
1753315200,1753401600,2025-07-24T00:00:00+00:00,2025-07-25T00:00:00+00:00,,,,,,,,,,,,,
1753401600,1753488000,2025-07-25T00:00:00+00:00,2025-07-26T00:00:00+00:00,,,,,,,,,,,,,
1753488000,1753574400,2025-07-26T00:00:00+00:00,2025-07-27T00:00:00+00:00,,,,,,,,,,,,,
1753574400,1753660800,2025-07-27T00:00:00+00:00,2025-07-28T00:00:00+00:00,,,,,,,,,,,,,
1753660800,1753747200,2025-07-28T00:00:00+00:00,2025-07-29T00:00:00+00:00,,,,,,,,,,,,,
1753747200,1753833600,2025-07-29T00:00:00+00:00,2025-07-30T00:00:00+00:00,,,,,,,,,,,,,
1753833600,1753920000,2025-07-30T00:00:00+00:00,2025-07-31T00:00:00+00:00,,,,,,,,,,,,,
1753920000,1754006400,2025-07-31T00:00:00+00:00,2025-08-01T00:00:00+00:00,,,,,,,,,,,,,
1754006400,1754092800,2025-08-01T00:00:00+00:00,2025-08-02T00:00:00+00:00,,,,,,,,,,,,,
1754092800,1754179200,2025-08-02T00:00:00+00:00,2025-08-03T00:00:00+00:00,,,,,,,,,,,,,
1754179200,1754265600,2025-08-03T00:00:00+00:00,2025-08-04T00:00:00+00:00,,,,,,,,,,,,,
1754265600,1754352000,2025-08-04T00:00:00+00:00,2025-08-05T00:00:00+00:00,,,,,,,,,,,,,
1754352000,1754438400,2025-08-05T00:00:00+00:00,2025-08-06T00:00:00+00:00,,,,,,,,,,,,,
1754438400,1754524800,2025-08-06T00:00:00+00:00,2025-08-07T00:00:00+00:00,,,,,,,,,,,,,
1754524800,1754611200,2025-08-07T00:00:00+00:00,2025-08-08T00:00:00+00:00,,,,,,,,,,,,,
1754611200,1754697600,2025-08-08T00:00:00+00:00,2025-08-09T00:00:00+00:00,1040.0,5670.0,1.0,proj_3t3NHqcQSTeAkUsbYCsbzurf,user-UepNrqwjHTAWqMKfP1aad6KA,key_PerNZmWIxFSdsi6p,gpt-5-2025-08-07,,incentivized-tier,0.0,1040.0,0.0,0.0
1754697600,1754784000,2025-08-09T00:00:00+00:00,2025-08-10T00:00:00+00:00,,,,,,,,,,,,,
1754784000,1754870400,2025-08-10T00:00:00+00:00,2025-08-11T00:00:00+00:00,,,,,,,,,,,,,
1754870400,1754956800,2025-08-11T00:00:00+00:00,2025-08-12T00:00:00+00:00,,,,,,,,,,,,,
1754956800,1755043200,2025-08-12T00:00:00+00:00,2025-08-13T00:00:00+00:00,,,,,,,,,,,,,
1755043200,1755129600,2025-08-13T00:00:00+00:00,2025-08-14T00:00:00+00:00,,,,,,,,,,,,,
1755129600,1755216000,2025-08-14T00:00:00+00:00,2025-08-15T00:00:00+00:00,,,,,,,,,,,,,
1755216000,1755302400,2025-08-15T00:00:00+00:00,2025-08-16T00:00:00+00:00,,,,,,,,,,,,,
1755302400,1755388800,2025-08-16T00:00:00+00:00,2025-08-17T00:00:00+00:00,,,,,,,,,,,,,
1755388800,1755475200,2025-08-17T00:00:00+00:00,2025-08-18T00:00:00+00:00,,,,,,,,,,,,,
1755475200,1755561600,2025-08-18T00:00:00+00:00,2025-08-19T00:00:00+00:00,,,,,,,,,,,,,
1755561600,1755648000,2025-08-19T00:00:00+00:00,2025-08-20T00:00:00+00:00,,,,,,,,,,,,,
1755648000,1755734400,2025-08-20T00:00:00+00:00,2025-08-21T00:00:00+00:00,8.0,11.0,1.0,proj_3t3NHqcQSTeAkUsbYCsbzurf,user-UepNrqwjHTAWqMKfP1aad6KA,key_PerNZmWIxFSdsi6p,gpt-5-2025-08-07,,incentivized-tier,0.0,8.0,0.0,0.0
1755734400,1755820799,2025-08-21T00:00:00+00:00,2025-08-21T23:59:59+00:00,48.0,164.0,6.0,proj_3t3NHqcQSTeAkUsbYCsbzurf,user-UepNrqwjHTAWqMKfP1aad6KA,key_PerNZmWIxFSdsi6p,gpt-5-2025-08-07,,incentivized-tier,0.0,48.0,0.0,0.0
